date,validators_slashed,gross_loss_eth,r_cl_daily_eth,r_el_daily_eth,gzs_daily,risk_daily,gzs_epoch_peak,risk_peak,known_event
2021-08-16,1,1.0,1237.5,1912.5,0.0003,HEALTHY,0.0714,HEALTHY,
2021-08-22,1,1.0,1237.5,1912.5,0.0003,HEALTHY,0.0714,HEALTHY,
2021-08-30,2,2.0,1237.5,1912.5,0.0006,HEALTHY,0.1429,HEALTHY,
2021-09-02,1,1.0,1237.5,1912.5,0.0003,HEALTHY,0.0714,HEALTHY,
2021-09-06,1,1.0,1237.5,1912.5,0.0003,HEALTHY,0.0714,HEALTHY,
2021-09-09,1,1.0,1237.5,1912.5,0.0003,HEALTHY,0.0714,HEALTHY,
2021-09-11,1,1.0,1237.5,1912.5,0.0003,HEALTHY,0.0714,HEALTHY,
2021-09-29,3,3.0,1237.5,1912.5,0.001,HEALTHY,0.2143,HEALTHY,
2021-10-21,1,1.0,1237.5,1912.5,0.0003,HEALTHY,0.0714,HEALTHY,
2021-11-18,1,1.0,1350.0,2025.0,0.0003,HEALTHY,0.0667,HEALTHY,
2021-11-30,1,1.0,1350.0,2025.0,0.0003,HEALTHY,0.0667,HEALTHY,
2021-12-02,1,1.0,1350.0,2025.0,0.0003,HEALTHY,0.0667,HEALTHY,
2021-12-14,1,1.0,1350.0,2025.0,0.0003,HEALTHY,0.0667,HEALTHY,
2021-12-19,1,1.0,1350.0,2025.0,0.0003,HEALTHY,0.0667,HEALTHY,
2021-12-27,4,4.0,1350.0,2025.0,0.0012,HEALTHY,0.2667,HEALTHY,
2021-12-30,1,1.0,1350.0,2025.0,0.0003,HEALTHY,0.0667,HEALTHY,
2022-01-04,1,1.0,1417.5,1687.5,0.0003,HEALTHY,0.0725,HEALTHY,
2022-01-31,1,1.0,1417.5,1687.5,0.0003,HEALTHY,0.0725,HEALTHY,
2022-03-10,1,1.0,1417.5,1687.5,0.0003,HEALTHY,0.0725,HEALTHY,
2022-03-13,1,1.0,1417.5,1687.5,0.0003,HEALTHY,0.0725,HEALTHY,
2022-04-08,1,1.0,1530.0,1350.0,0.0003,HEALTHY,0.0781,HEALTHY,
2022-05-04,1,1.0,1530.0,1350.0,0.0003,HEALTHY,0.0781,HEALTHY,
2022-05-06,1,1.0,1530.0,1350.0,0.0003,HEALTHY,0.0781,HEALTHY,
2022-05-09,1,1.0,1530.0,1350.0,0.0003,HEALTHY,0.0781,HEALTHY,stETH depeg inicio (UST/Luna)
2022-05-10,1,1.0,1530.0,1350.0,0.0003,HEALTHY,0.0781,HEALTHY,
2022-05-17,1,1.0,1530.0,1350.0,0.0003,HEALTHY,0.0781,HEALTHY,
2022-06-25,1,1.0,1530.0,1350.0,0.0003,HEALTHY,0.0781,HEALTHY,
2022-07-15,1,1.0,1575.0,787.5,0.0004,HEALTHY,0.0952,HEALTHY,
2022-07-20,1,1.0,1575.0,787.5,0.0004,HEALTHY,0.0952,HEALTHY,
2022-08-09,1,1.0,1575.0,787.5,0.0004,HEALTHY,0.0952,HEALTHY,
2022-08-15,2,2.0,1575.0,787.5,0.0008,HEALTHY,0.1905,HEALTHY,
2022-08-25,1,1.0,1575.0,787.5,0.0004,HEALTHY,0.0952,HEALTHY,
2022-08-29,1,1.0,1575.0,787.5,0.0004,HEALTHY,0.0952,HEALTHY,
2022-09-03,1,1.0,1575.0,787.5,0.0004,HEALTHY,0.0952,HEALTHY,
2022-09-04,1,1.0,1575.0,787.5,0.0004,HEALTHY,0.0952,HEALTHY,
2022-09-06,1,1.0,1575.0,787.5,0.0004,HEALTHY,0.0952,HEALTHY,
2022-09-10,1,1.0,1575.0,787.5,0.0004,HEALTHY,0.0952,HEALTHY,
2022-09-12,1,1.0,1575.0,787.5,0.0004,HEALTHY,0.0952,HEALTHY,
2022-09-15,1,1.0,1620.0,562.5,0.0005,HEALTHY,0.1031,HEALTHY,Ethereum Merge (PoW→PoS)
2022-09-17,1,1.0,1620.0,562.5,0.0005,HEALTHY,0.1031,HEALTHY,
2022-09-21,2,2.0,1620.0,562.5,0.0009,HEALTHY,0.2062,HEALTHY,
2022-09-22,1,1.0,1620.0,562.5,0.0005,HEALTHY,0.1031,HEALTHY,
2022-09-23,20,20.0,1620.0,562.5,0.0092,HEALTHY,2.0619,CRITICAL,
2022-11-01,1,1.0,1620.0,562.5,0.0005,HEALTHY,0.1031,HEALTHY,
2022-11-05,1,1.0,1620.0,562.5,0.0005,HEALTHY,0.1031,HEALTHY,
2022-11-27,1,1.0,1620.0,562.5,0.0005,HEALTHY,0.1031,HEALTHY,
2022-12-18,2,2.0,1620.0,562.5,0.0009,HEALTHY,0.2062,HEALTHY,
2022-12-26,3,3.0,1620.0,562.5,0.0014,HEALTHY,0.3093,HEALTHY,
2023-02-21,2,2.0,1800.0,450.0,0.0009,HEALTHY,0.2,HEALTHY,
2023-02-23,2,2.0,1800.0,450.0,0.0009,HEALTHY,0.2,HEALTHY,
2023-03-04,1,1.0,1800.0,450.0,0.0004,HEALTHY,0.1,HEALTHY,
2023-03-14,1,1.0,1800.0,450.0,0.0004,HEALTHY,0.1,HEALTHY,
2023-03-20,1,1.0,1800.0,450.0,0.0004,HEALTHY,0.1,HEALTHY,
2023-03-30,1,1.0,1800.0,450.0,0.0004,HEALTHY,0.1,HEALTHY,
2023-04-03,1,1.0,1800.0,450.0,0.0004,HEALTHY,0.1,HEALTHY,
2023-04-13,11,11.0,1912.5,562.5,0.0044,HEALTHY,1.0,CRITICAL,
2023-05-12,3,3.0,1912.5,562.5,0.0012,HEALTHY,0.2727,HEALTHY,
2023-05-13,1,1.0,1912.5,562.5,0.0004,HEALTHY,0.0909,HEALTHY,
2023-05-24,1,1.0,1912.5,562.5,0.0004,HEALTHY,0.0909,HEALTHY,
2023-05-25,3,3.0,1912.5,562.5,0.0012,HEALTHY,0.2727,HEALTHY,
2023-06-06,1,1.0,1912.5,562.5,0.0004,HEALTHY,0.0909,HEALTHY,
2023-07-03,1,1.0,2025.0,450.0,0.0004,HEALTHY,0.0909,HEALTHY,
2023-07-04,1,1.0,2025.0,450.0,0.0004,HEALTHY,0.0909,HEALTHY,
2023-07-05,4,4.0,2025.0,450.0,0.0016,HEALTHY,0.3636,HEALTHY,
2023-07-08,2,2.0,2025.0,450.0,0.0008,HEALTHY,0.1818,HEALTHY,
2023-07-18,1,1.0,2025.0,450.0,0.0004,HEALTHY,0.0909,HEALTHY,
2023-08-08,1,1.0,2025.0,450.0,0.0004,HEALTHY,0.0909,HEALTHY,
2023-08-12,1,1.0,2025.0,450.0,0.0004,HEALTHY,0.0909,HEALTHY,
2023-08-16,2,2.0,2025.0,450.0,0.0008,HEALTHY,0.1818,HEALTHY,
2023-08-26,12,12.0,2025.0,450.0,0.0048,HEALTHY,1.0909,CRITICAL,
2023-08-28,1,1.0,2025.0,450.0,0.0004,HEALTHY,0.0909,HEALTHY,
2023-10-02,1,1.0,2025.0,450.0,0.0004,HEALTHY,0.0909,HEALTHY,
2023-10-11,20,20.0,2025.0,450.0,0.0081,HEALTHY,1.8182,CRITICAL,
2023-11-12,1,1.0,2025.0,450.0,0.0004,HEALTHY,0.0909,HEALTHY,
2023-11-14,99,99.0,2025.0,450.0,0.04,HEALTHY,9.0,CRITICAL,
2023-11-26,1,1.0,2025.0,450.0,0.0004,HEALTHY,0.0909,HEALTHY,
2023-11-27,5,5.0,2025.0,450.0,0.002,HEALTHY,0.4545,HEALTHY,
2024-01-05,2,2.0,2362.5,337.5,0.0007,HEALTHY,0.1667,HEALTHY,
2024-01-16,4,4.0,2362.5,337.5,0.0015,HEALTHY,0.3333,HEALTHY,
2024-01-24,1,1.0,2362.5,337.5,0.0004,HEALTHY,0.0833,HEALTHY,
2024-01-30,1,1.0,2362.5,337.5,0.0004,HEALTHY,0.0833,HEALTHY,
2024-02-18,4,4.0,2362.5,337.5,0.0015,HEALTHY,0.3333,HEALTHY,
2024-02-21,4,4.0,2362.5,337.5,0.0015,HEALTHY,0.3333,HEALTHY,
2024-03-02,2,2.0,2362.5,337.5,0.0007,HEALTHY,0.1667,HEALTHY,
2024-03-14,2,2.0,2475.0,135.0,0.0008,HEALTHY,0.1724,HEALTHY,
2024-04-07,5,5.0,2475.0,135.0,0.0019,HEALTHY,0.431,HEALTHY,
2024-04-10,1,1.0,2475.0,135.0,0.0004,HEALTHY,0.0862,HEALTHY,
2024-06-06,1,1.0,2475.0,135.0,0.0004,HEALTHY,0.0862,HEALTHY,
2024-06-07,1,1.0,2475.0,135.0,0.0004,HEALTHY,0.0862,HEALTHY,
2024-06-15,1,1.0,2475.0,135.0,0.0004,HEALTHY,0.0862,HEALTHY,
2024-06-19,1,1.0,2475.0,135.0,0.0004,HEALTHY,0.0862,HEALTHY,
2024-06-28,1,1.0,2475.0,135.0,0.0004,HEALTHY,0.0862,HEALTHY,
2024-07-05,1,1.0,2587.5,157.5,0.0004,HEALTHY,0.082,HEALTHY,
2024-07-23,1,1.0,2587.5,157.5,0.0004,HEALTHY,0.082,HEALTHY,
2024-09-29,8,8.0,2587.5,157.5,0.0029,HEALTHY,0.6557,GREY_ZONE,
2024-11-09,1,1.0,2587.5,157.5,0.0004,HEALTHY,0.082,HEALTHY,
2024-11-10,1,1.0,2587.5,157.5,0.0004,HEALTHY,0.082,HEALTHY,
2024-12-04,14,14.0,2587.5,157.5,0.0051,HEALTHY,1.1475,CRITICAL,
2024-12-05,7,7.0,2587.5,157.5,0.0026,HEALTHY,0.5738,GREY_ZONE,
2024-12-12,1,1.0,2587.5,157.5,0.0004,HEALTHY,0.082,HEALTHY,
2025-03-04,1,1.0,2812.5,225.0,0.0003,HEALTHY,0.0741,HEALTHY,
2025-03-11,1,1.0,2812.5,225.0,0.0003,HEALTHY,0.0741,HEALTHY,
2025-04-23,2,2.0,2812.5,225.0,0.0007,HEALTHY,0.1481,HEALTHY,
2025-05-31,7,7.0,2812.5,225.0,0.0023,HEALTHY,0.5185,GREY_ZONE,
2025-06-30,3,3.0,2925.0,270.0,0.0009,HEALTHY,0.2113,HEALTHY,
2025-09-05,1,1.0,2925.0,270.0,0.0003,HEALTHY,0.0704,HEALTHY,
2025-09-10,40,40.0,2925.0,270.0,0.0125,HEALTHY,2.8169,CRITICAL,
2025-09-12,7,7.0,2925.0,270.0,0.0022,HEALTHY,0.493,HEALTHY,
2025-09-26,1,1.0,2925.0,270.0,0.0003,HEALTHY,0.0704,HEALTHY,
2025-10-11,1,1.0,2925.0,270.0,0.0003,HEALTHY,0.0704,HEALTHY,
2025-10-16,1,1.0,2925.0,270.0,0.0003,HEALTHY,0.0704,HEALTHY,
2025-11-12,1,1.0,2925.0,270.0,0.0003,HEALTHY,0.0704,HEALTHY,
2025-11-14,1,1.0,2925.0,270.0,0.0003,HEALTHY,0.0704,HEALTHY,
2025-11-30,9,9.0,2925.0,270.0,0.0028,HEALTHY,0.6338,GREY_ZONE,
2025-12-04,1,1.0,2925.0,270.0,0.0003,HEALTHY,0.0704,HEALTHY,
2025-12-05,1,1.0,2925.0,270.0,0.0003,HEALTHY,0.0704,HEALTHY,
2025-12-09,1,1.0,2925.0,270.0,0.0003,HEALTHY,0.0704,HEALTHY,
2025-12-17,2,2.0,2925.0,270.0,0.0006,HEALTHY,0.1408,HEALTHY,
2025-12-19,3,3.0,2925.0,270.0,0.0009,HEALTHY,0.2113,HEALTHY,
2025-12-21,4,4.0,2925.0,270.0,0.0013,HEALTHY,0.2817,HEALTHY,
2025-12-24,2,2.0,2925.0,270.0,0.0006,HEALTHY,0.1408,HEALTHY,
2026-02-13,3,3.0,3037.5,292.5,0.0009,HEALTHY,0.2027,HEALTHY,
2026-03-12,6,6.0,3037.5,292.5,0.0018,HEALTHY,0.4054,HEALTHY,
2026-03-28,3,3.0,3037.5,292.5,0.0009,HEALTHY,0.2027,HEALTHY,
2026-03-31,1,1.0,3037.5,292.5,0.0003,HEALTHY,0.0676,HEALTHY,
